comment_id,comment_text,category,label
d2324004-d758-460e-a94d-818afe308b55,I love the real-time updates; they told me the bus was 5 minutes away.,Punctuality,0
aa16a86c-d73c-4448-9d3f-daa3bd854756,The stop near Paine Field could use better lighting and seating.,Punctuality,0
d08535d5-fe42-415e-afd8-d733ef3c82a3,I wish the bus arrived on time; today it was 5 minutes late.,Punctuality,1
25d8e134-bc28-4345-a0e1-775afbdee05b,Please continue to keep the buses well-maintained; it makes a big difference.,Punctuality,1
aa16a86c-d73c-4448-9d3f-daa3bd854756,The stop near Paine Field could use better lighting and seating.,Safety,0
d08535d5-fe42-415e-afd8-d733ef3c82a3,I wish the bus arrived on time; today it was 5 minutes late.,Safety,1
f479c38a-583e-4891-98dd-648a0ba6cfcd,Please continue to keep the buses quiet; it makes a big difference.,Cleanliness,0
d08535d5-fe42-415e-afd8-d733ef3c82a3,I wish the bus arrived on time; today it was 5 minutes late.,Cleanliness,0
25d8e134-bc28-4345-a0e1-775afbdee05b,Please continue to keep the buses well-maintained; it makes a big difference.,Cleanliness,1
2619761a-39b1-4438-8eb9-13e07405c530,I appreciate the efficient service on route 180 this morning.,Cleanliness,1
